Gene.name	geneSymbol	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Strand	Gene.type	Gene.description	logCPM	adjP_gonad	adjP_brain	FB_MB	FB_O	FB_T	MB_O	MB_T	O_T
MMP13	ENSCJPG00005003591	1	163168976	163177294	1	protein_coding	collagenase 3-like [Source:NCBI gene;Acc:107308401]	12.97752283	1e-84	1	1	7.16e-90	0.033014729	2.12e-90	0.037333984	2.28e-80
MMP16	ENSCJPG00005000314	2	111993771	112151596	-1	protein_coding	matrix metallopeptidase 16 [Source:NCBI gene;Acc:107310392]	5.933652584	3.93e-05	1	1	0.5801841	1.07e-08	0.580558549	4.38e-09	1.78e-10
MN1	ENSCJPG00005008502	15	6585162	6615836	-1	protein_coding	MN1 proto-oncogene, transcriptional regulator [Source:NCBI gene;Acc:107321423]	8.023698471	6.03e-11	1	1	0.003562157	1.22e-16	0.000526108	2.65e-18	3.12e-08
MND1	ENSCJPG00005000370	4	17742201	17767167	1	protein_coding	meiotic nuclear divisions 1 [Source:NCBI gene;Acc:107313073]	9.989889404	1.84e-23	1	1	3.84e-35	6.36e-59	5.05e-41	2.97e-65	2.37e-08
MNS1	ENSCJPG00005016239	10	6611046	6614510	1	protein_coding	meiosis specific nuclear structural 1 [Source:NCBI gene;Acc:107318612]	11.34311522	1.38e-150	1	1	9.64e-21	1.15e-15	1.63e-24	1.26e-12	1.18e-53
MNX1	ENSCJPG00005003190	2	7613565	7616241	-1	protein_coding	motor neuron and pancreas homeobox 1 [Source:NCBI gene;Acc:107308729]	7.583264949	3e-29	0.842762871	0.069790843	1.9e-44	0.576544576	1.11e-58	0.019624288	4.41e-48
MOB1A	ENSCJPG00005011941	22	1247913	1252481	1	protein_coding	MOB kinase activator 1A [Source:NCBI gene;Acc:107323671]	10.0276516	0.167944728	1	1	4.29e-13	1.32e-06	2.49e-15	2.72e-08	0.01389048
MPC2	ENSCJPG00005000937	1	82063211	82069811	1	protein_coding	mitochondrial pyruvate carrier 2 [Source:NCBI gene;Acc:107321793]	11.02038287	4.87e-35	1	1	0.755931067	9.87e-10	0.858635735	2.22e-09	1.02e-08
MRP	ENSCJPG00005014112	25	1204779	1206100	-1	protein_coding	protein MRP-126 [Source:NCBI gene;Acc:107324457]	5.443787977	3.86e-06	1	1	5.26e-06	0.543756971	3.98e-06	0.5296266	7.95e-05
MSH2	ENSCJPG00005001491	3	10172901	10195175	1	protein_coding	mutS homolog 2 [Source:NCBI gene;Acc:107310883]	9.737008986	6.7e-05	1	1	2.5e-05	0.647214522	4.25e-05	0.756839716	0.000178257
MSH3	ENSCJPG00005000723	Z	56979673	57087033	-1	protein_coding	mutS homolog 3 [Source:NCBI gene;Acc:107306538]	8.550442756	0.620207686	0.196305388	0.25848427	0.072370125	0.628475726	0.733537854	0.00437012	0.015365919
MSH6	ENSCJPG00005001501	3	10264396	10273006	1	protein_coding	mutS homolog 6 [Source:NCBI gene;Acc:107310861]	10.85995745	3.32e-07	1	1	1.78e-06	0.431820077	1.19e-06	0.395661623	7.53e-05
MSMP	ENSCJPG00005006307	Z	8354392	8355568	1	protein_coding	microseminoprotein, prostate associated [Source:HGNC Symbol;Acc:HGNC:29663]	1.4584271	0.115749214	1	1	1	1	0.503660315	0.512963057	1
MSRA	ENSCJPG00005013018	3	97126749	97368544	1	protein_coding	methionine sulfoxide reductase A [Source:NCBI gene;Acc:107312383]	9.666016898	7.06e-19	1	0.329839644	3.04e-05	5.27e-05	0.019802233	0.02489105	1
MSX2	ENSCJPG00005008848	13	11634153	11638305	1	protein_coding	msh homeobox 2 [Source:NCBI gene;Acc:107320497]	3.411305874	6.14e-07	1	0.578456783	0.682637324	1.57e-05	0.227433015	0.003455717	6.43e-05
MTF2	ENSCJPG00005008156	8	12124220	12145405	-1	protein_coding	metal response element binding transcription factor 2 [Source:NCBI gene;Acc:107317363]	10.55152548	0.000293056	1	1	0.000379724	1.9e-05	6.61e-06	1.97e-07	0.544647283
MTFR1	ENSCJPG00005011616	2	103985134	104004119	1	protein_coding	mitochondrial fission regulator 1 [Source:NCBI gene;Acc:107310232]	13.36392736	6.24e-158	1	1	9.81e-05	8.21e-41	2.03e-05	2.37e-42	4.11e-25
MTR	ENSCJPG00005016942	3	33757324	33802587	-1	protein_coding	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:NCBI gene;Acc:107311413]	9.784829965	0.001496522	1	1	0.905781038	1.03e-18	0.863606933	1.64e-21	4.47e-20
MUSK	ENSCJPG00005003566	Z	59224637	59263857	1	protein_coding	muscle associated receptor tyrosine kinase [Source:NCBI gene;Acc:107306594]	5.393700619	1.54e-07	1	1	0.1299326	7.99e-08	0.019895771	2.75e-10	5.4e-05
MYLK	ENSCJPG00005021064	7	19663838	19834275	1	protein_coding	myosin light chain kinase [Source:NCBI gene;Acc:107316813]	12.48431953	1.8e-13	1	1	4.02e-61	3.85e-13	2.98e-62	1.47e-13	3.02e-31
MYO1E	ENSCJPG00005012713	10	5739212	5819149	1	protein_coding	myosin IE [Source:NCBI gene;Acc:107318506]	10.36195869	0.005473772	1	1	4.03e-29	6.43e-20	4.23e-28	6.97e-19	0.012275715
MYO5A	ENSCJPG00005016709	10	7622321	7720383	1	protein_coding	myosin VA [Source:NCBI gene;Acc:107318692]	10.42341293	0.004282183	1	1	0.185806544	1.94e-06	0.153713734	1.2e-06	5.46e-10
MYO9A	ENSCJPG00005003674	10	801869	927955	-1	protein_coding	myosin IXA [Source:NCBI gene;Acc:107318561]	10.40203042	0.00025182	1	1	0.077123325	0.046048245	0.328583599	0.002628254	7.79e-05
MYOC	ENSCJPG00005021460	8	6868404	6876225	-1	protein_coding	myocilin [Source:NCBI gene;Acc:107317222]	6.908217646	1.21e-10	1	1	5.43e-21	4.93e-17	3.25e-18	1.28e-14	0.283344859
MYOM3	ENSCJPG00005005124	23	4949125	4966615	-1	protein_coding	myomesin 3 [Source:NCBI gene;Acc:107323877]	6.722880489	2.17e-16	1	0.637422241	1	0.020340984	0.085334629	0.39102293	0.012056012
MYT1L	ENSCJPG00005008311	3	84856641	84976359	-1	protein_coding	myelin transcription factor 1 like [Source:NCBI gene;Acc:107312174]	6.60070033	1.17e-13	1	1	1.49e-57	1.7e-25	1.79e-57	1.83e-25	4.18e-15
N4BP3	ENSCJPG00005009010	13	11906580	11908554	-1	protein_coding	NEDD4 binding protein 3 [Source:NCBI gene;Acc:107320489]	6.938408048	0.065959138	1	1	1	1	0.504876473	0.522321685	1
NAA50	ENSCJPG00005017201	1	71026605	71054989	1	protein_coding	N(alpha)-acetyltransferase 50, NatE catalytic subunit [Source:NCBI gene;Acc:107319460]	12.65538088	0.010042187	1	1	4.35e-12	1.24e-06	3.81e-13	2.02e-07	0.033431468
NARF	ENSCJPG00005020605	18	2990509	3003407	-1	protein_coding	nuclear prelamin A recognition factor [Source:NCBI gene;Acc:107322227]	10.46324126	0.44783422	1	1	0.743857664	0.106346629	0.573167722	0.557398574	0.217631567
NAV1	ENSCJPG00005007385	26	1003763	1045972	1	protein_coding	neuron navigator 1 [Source:NCBI gene;Acc:107324637]	8.083524189	2.32e-08	1	1	1.5e-06	1.22e-15	3.94e-06	4.97e-15	0.000734601
NCALD	ENSCJPG00005000962	2	116689204	116730730	-1	protein_coding	neurocalcin delta [Source:NCBI gene;Acc:107310436]	7.691793876	2.42e-05	1	1	0.005239153	3.56e-19	0.002829967	7.76e-20	2.53e-10
NCAM2	ENSCJPG00005004643	1	90596361	90834800	1	protein_coding	neural cell adhesion molecule 2 [Source:NCBI gene;Acc:107322555]	7.074970266	5.3e-13	1	1	4.05e-44	4.86e-18	2.18e-48	9.92e-22	3.53e-11
NCS1	ENSCJPG00005000105	17	4464352	4476944	1	protein_coding	neuronal calcium sensor 1 [Source:NCBI gene;Acc:107321842]	9.649283688	5.36e-08	1	1	9.86e-31	5.56e-07	4.86e-31	3.56e-07	5.01e-13
NDE1	ENSCJPG00005010263	14	7392229	7399696	1	protein_coding	nudE neurodevelopment protein 1 [Source:NCBI gene;Acc:107320664]	13.82632181	1.61e-143	1	1	3.4e-10	9.77e-71	5.61e-11	2.62e-72	2.97e-43
NDNF	ENSCJPG00005003647	4	48513152	48531507	1	protein_coding	neuron derived neurotrophic factor [Source:NCBI gene;Acc:107313566]	8.789016157	0.692640638	1	1	0.962112855	0.033426743	0.681845997	0.134304771	0.040362655
NDRG3	ENSCJPG00005020313	20	743208	770274	1	protein_coding	NDRG family member 3 [Source:NCBI gene;Acc:107322823]	13.02029237	1.74e-110	1	1	0.000371972	0.000119034	0.000665821	6.22e-05	1.7e-13
NDST4	ENSCJPG00005003779	4	50241447	50328643	1	protein_coding	N-deacetylase and N-sulfotransferase 4 [Source:NCBI gene;Acc:107313584]	5.222246318	0.000154918	1	0.804214301	7.01e-07	3.36e-09	7.19e-11	3.08e-13	0.255036954
NEK6	ENSCJPG00005010876	17	7823629	7854449	1	protein_coding	NIMA related kinase 6 [Source:NCBI gene;Acc:107321937]	9.206136204	1.54e-08	1	1	1.25e-07	0.660041163	3.03e-09	0.309856765	1.17e-06
NET1	ENSCJPG00005004043	1	1136219	1145868	-1	protein_coding	neuroepithelial cell transforming 1 [Source:NCBI gene;Acc:107311988]	10.92429618	4.5e-10	1	1	0.953346318	4.73e-48	0.357545856	5.9e-44	9.51e-48
NFIA	ENSCJPG00005012429	8	24276326	24508946	1	protein_coding	nuclear factor I A [Source:NCBI gene;Acc:107317733]	9.202941111	8.16e-27	1	0.38697444	0.832135275	1.01e-14	0.022334149	4.7e-09	7.76e-16
NFIC	ENSCJPG00005006181	28	536716	569322	-1	protein_coding	nuclear factor I C [Source:NCBI gene;Acc:107325638]	8.227047625	1.55e-21	1	1	0.885318	1.85e-15	0.705434221	1.71e-13	7.8e-15
NFU1	ENSCJPG00005011959	22	1387789	1397200	1	protein_coding	NFU1 iron-sulfur cluster scaffold [Source:NCBI gene;Acc:107323613]	10.70637103	9.64e-33	1	1	0.073928785	3.72e-12	0.047509464	1.05e-12	3.16e-07
NHSL1	ENSCJPG00005008828	3	49024628	49174996	1	protein_coding	NHS like 1 [Source:NCBI gene;Acc:107311666]	9.572700183	0.000957372	1	0.312457456	3.04e-06	7.19e-07	0.009634636	0.003209144	0.764687396
NIPA2	ENSCJPG00005019415	1	117535759	117539445	-1	protein_coding	NIPA magnesium transporter 2 [Source:NCBI gene;Acc:107307643]	9.379440448	1.86e-11	1	0.62441859	0.13472752	0.539471736	0.001112552	0.020197307	0.353993325
NIPBL	ENSCJPG00005006734	Z	10388656	10471276	1	protein_coding	NIPBL cohesin loading factor [Source:NCBI gene;Acc:107305848]	11.55884109	2.47e-09	0.914220102	3.3e-06	0.412774501	1.23e-05	1.61e-10	0.265981473	1.07e-07
NIT1	ENSCJPG00005000360	25	2480083	2484956	-1	protein_coding	nitrilase 1 [Source:NCBI gene;Acc:107324574]	8.371569268	0.002308344	1	1	0.102877115	0.001271487	0.059805207	0.000550019	0.153484232
NKD1	ENSCJPG00005014352	11	5182490	5410515	-1	protein_coding	NKD inhibitor of WNT signaling pathway 1 [Source:NCBI gene;Acc:107319024]	7.338563654	0.756230591	1	1	0.27694434	0.000995553	0.153011851	0.000290716	0.040164183
NMS	ENSCJPG00005001260	1	119982895	119987783	1	protein_coding	neuromedin S [Source:HGNC Symbol;Acc:HGNC:32203]	3.002967951	4.58e-07	1	1	0.02278814	0.125962643	0.159151606	0.005140345	0.00010478
NMU	ENSCJPG00005010675	4	58657859	58669757	1	protein_coding	neuromedin U [Source:NCBI gene;Acc:107313768]	4.934265027	0.12240425	1	1	0.110168578	0.015061431	0.245658521	0.050877453	0.512938718
NOL4	ENSCJPG00005009965	2	96759809	96938313	-1	protein_coding	nucleolar protein 4 [Source:NCBI gene;Acc:107310151]	5.986869225	0.055465728	1	1	9.35e-42	1.15e-35	1.19e-42	1.99e-36	0.165689495
NOL9	ENSCJPG00005007408	21	454865	462917	1	protein_coding	nucleolar protein 9 [Source:NCBI gene;Acc:107323448]	8.996719881	0.714658176	1	1	0.004514296	0.251754626	0.000380254	0.064692227	0.103720585
NONO	ENSCJPG00005012035	4	2213027	2224588	-1	protein_coding	non-POU domain containing octamer binding [Source:NCBI gene;Acc:107312607]	11.11935522	0.210945441	1	1	0.007733945	0.161986519	0.006052549	0.14011818	0.227930474
NOS1	ENSCJPG00005015666	15	10068596	10119866	1	protein_coding	nitric oxide synthase 1 [Source:NCBI gene;Acc:107321466]	9.489142306	3.07e-108	1	0.113143431	8.23e-26	0.316294801	8.15e-16	0.096503061	3.98e-22
NOX3	ENSCJPG00005007803	3	45708084	45745964	-1	protein_coding	NADPH oxidase 3 [Source:NCBI gene;Acc:107311602]	2.386048737	0.015721607	1	1	0.872577955	0.326801662	1	0.167783719	0.174031426
NPAS3	ENSCJPG00005017573	5	31999727	32300791	1	protein_coding	neuronal PAS domain protein 3 [Source:NCBI gene;Acc:107315048]	8.160874592	2.18e-16	1	1	0.001815306	5.89e-24	0.002131252	7.57e-24	4.01e-13
NPM3	ENSCJPG00005019854	6	19848436	19850325	1	protein_coding	nucleophosmin/nucleoplasmin 3 [Source:HGNC Symbol;Acc:HGNC:7931]	8.47783824	0.00211997	1	0.394385444	3.4e-29	2.13e-51	4.44e-23	3.06e-43	1.11e-07
NPS	ENSCJPG00005001270	6	29486216	29488213	1	protein_coding	neuropeptide S [Source:HGNC Symbol;Acc:HGNC:33940]	2.519133552	0.70629604	1	1	0.221851852	0.847027612	0.156869078	0.801990676	0.271591284
NPSR1	ENSCJPG00005006869	2	78214998	78273686	-1	protein_coding	neuropeptide S receptor 1 [Source:NCBI gene;Acc:107309873]	2.573175753	7.59e-07	1	1	1.19e-10	0.001180964	1.57e-11	0.000465032	0.000366185
NPTN	ENSCJPG00005007516	10	1530582	1574838	-1	protein_coding	neuroplastin [Source:NCBI gene;Acc:107318597]	11.13264884	0.789529148	1	1	0.013539499	0.132668856	0.007032084	0.087980334	0.385134561
NPTX1	ENSCJPG00005021200	18	4887624	4895964	-1	protein_coding	neuronal pentraxin 1 [Source:NCBI gene;Acc:107322289]	5.414875015	0.00535658	1	1	0.19996168	0.267054048	0.018859693	0.03439624	0.887394511
NPTX2	ENSCJPG00005013595	14	1307496	1317100	1	protein_coding	neuronal pentraxin 2 [Source:NCBI gene;Acc:107320781]	9.521746243	1.01e-20	1	1	5.45e-05	9.6e-37	0.001366624	2.28e-34	7.42e-22
NPY	ENSCJPG00005012506	2	28798608	28811955	1	protein_coding	neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]	5.817089093	0.070902379	1	1	6.31e-29	9.22e-12	7.46e-34	4.81e-15	5.57e-05
NQO1	ENSCJPG00005015238	11	16978616	16981338	-1	protein_coding	NAD(P)H quinone dehydrogenase 1 [Source:NCBI gene;Acc:107319463]	8.667772246	0.065792875	1	1	0.011947172	0.002551268	0.001387485	0.017280768	1.64e-08
NR0B1	ENSCJPG00005017158	1	104368159	104369928	1	protein_coding	nuclear receptor subfamily 0 group B member 1 [Source:NCBI gene;Acc:107324815]	9.467807602	1.08e-14	1	1	1.56e-20	0.105840093	2.29e-21	0.070406476	4.71e-15
NR1D1	ENSCJPG00005002456	27	4032223	4039236	-1	protein_coding	nuclear receptor subfamily 1 group D member 1 [Source:NCBI gene;Acc:107325075]	7.035837566	0.012782272	1	1	0.010171927	1.39e-12	0.016992644	3.57e-12	5.89e-06
NR1H4	ENSCJPG00005007383	1	43088364	43126660	1	protein_coding	nuclear receptor subfamily 1 group H member 4 [Source:NCBI gene;Acc:107312042]	5.092108296	0.187720828	1	1	0.000459915	0.006548076	7.53e-05	0.002246424	0.358995499
NR2E1	ENSCJPG00005009425	3	61359922	61373423	-1	protein_coding	nuclear receptor subfamily 2 group E member 1 [Source:NCBI gene;Acc:107311855]	3.852647078	0.00681414	1	1	8.63e-07	0.016759398	8.16e-07	0.016452501	0.012797316
NRARP	ENSCJPG00005015819	17	279332	279676	-1	protein_coding	NOTCH regulated ankyrin repeat protein [Source:NCBI gene;Acc:107321679]	5.927244291	0.001004423	1	1	0.726707931	6.51e-08	0.440916282	4.06e-09	5.88e-07
NREP	ENSCJPG00005009632	Z	41281241	41286935	1	protein_coding	neuronal regeneration related protein [Source:HGNC Symbol;Acc:HGNC:16834]	10.46008148	0.003676818	1	1	7.49e-05	2.09e-12	2.57e-05	3.72e-13	0.001907752
NRG1	ENSCJPG00005012373	Z	47855854	48311383	-1	protein_coding	neuregulin 1 [Source:NCBI gene;Acc:107306440]	4.863485354	0.271167253	1	1	3.3e-53	2.24e-39	1.41e-55	1.95e-41	0.001027243
NRG3	ENSCJPG00005012647	6	2575505	2938857	-1	protein_coding	neuregulin 3 [Source:NCBI gene;Acc:107315582]	3.028396483	0.019165408	1	1	7.02e-10	1.93e-09	8.37e-12	3.52e-11	1
NRN1L	ENSCJPG00005011955	11	1591637	1593832	-1	protein_coding	neuritin 1 like [Source:HGNC Symbol;Acc:HGNC:29811]	5.640513529	0.22401835	1	1	3.33e-37	2.15e-42	3.16e-33	2.1e-38	0.159294478
NRTN	ENSCJPG00005009820	28	845262	847538	-1	protein_coding	neurturin [Source:NCBI gene;Acc:107325645]	3.623888597	0.000498466	1	1	0.038716867	0.131892831	0.160984321	0.414549977	0.594329085
NSD1	ENSCJPG00005010030	13	12022313	12070061	-1	protein_coding	nuclear receptor binding SET domain protein 1 [Source:NCBI gene;Acc:107320315]	11.04068683	4.9e-07	1	1	0.895826972	0.038964184	0.503938644	0.122096195	0.020607564
NSUN2	ENSCJPG00005014905	2	50900489	50922034	-1	protein_coding	NOP2/Sun RNA methyltransferase 2 [Source:NCBI gene;Acc:107309500]	9.344981292	0.703186915	1	1	0.005702554	0.259943932	0.002538322	0.170863641	0.115509329
NTRK1	ENSCJPG00005014006	25	685388	692441	1	protein_coding	neurotrophic receptor tyrosine kinase 1 [Source:NCBI gene;Acc:107324385]	4.841824476	0.097456114	1	1	5.09e-05	0.000389345	3.9e-06	6.21e-05	0.571683952
NUP62	ENSCJPG00005010435	4	1851421	1859086	-1	protein_coding	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	11.09316889	1.59e-19	1	1	0.000274007	7.03e-12	0.000168302	3.01e-12	0.001336671
NYX	ENSCJPG00005012634	1	100946884	100948399	-1	protein_coding	nyctalopin [Source:NCBI gene;Acc:107324664]	2.924540641	2.44e-06	1	0.998056568	0.39084498	0.385964344	0.963013402	0.041139177	0.061978742
OAZ1	ENSCJPG00005009851	28	1196264	1199608	-1	protein_coding	ornithine decarboxylase antizyme 1 [Source:NCBI gene;Acc:107325581]	12.52894061	0.749759503	1	1	0.019116018	2.89e-05	0.02427848	4.67e-05	0.093294218
OAZ2	ENSCJPG00005000890	10	552510	561335	1	protein_coding	ornithine decarboxylase antizyme 2 [Source:NCBI gene;Acc:107318487]	10.10112241	0.899889344	1	1	0.684235681	0.088504458	0.699064055	0.092809496	0.224913805
ODR4	ENSCJPG00005021494	8	9048098	9066197	-1	protein_coding	odr-4 GPCR localization factor homolog [Source:NCBI gene;Acc:107317326]	8.746437774	0.743392356	1	1	0.173911481	0.00029684	0.527421045	0.004499644	0.035407351
OGFR	ENSCJPG00005003095	20	7463419	7471597	1	protein_coding	opioid growth factor receptor [Source:NCBI gene;Acc:107322968]	10.52162812	0.55704317	1	1	0.407274078	0.604446917	0.535389562	0.802878347	0.737481576
OLIG3	ENSCJPG00005008858	3	49475618	49476436	1	protein_coding	oligodendrocyte transcription factor 3 [Source:NCBI gene;Acc:107311654]	4.964464309	6.34e-08	1	1	0.954261026	4.1e-09	0.951794193	5.44e-11	7.02e-10
OPN4	ENSCJPG00005012334	6	1612442	1629484	1	protein_coding	opsin 4 [Source:NCBI gene;Acc:107315548]	3.063330137	0.498867339	1	0.188968339	0.001405961	6.3e-05	0.451649781	4.17e-10	5.19e-12
OPN5	ENSCJPG00005002822	3	100340103	100350793	1	protein_coding	Coturnix japonica opsin 5 (OPN5), mRNA. [Source:RefSeq mRNA;Acc:NM_001323223]	5.870954355	1.13e-05	1	1	0.036263047	0.003900572	0.015681712	0.001023833	0.375205894
OSCP1	ENSCJPG00005016941	23	3583884	3592235	1	protein_coding	organic solute carrier partner 1 [Source:NCBI gene;Acc:107324027]	10.76618248	8.98e-67	1	1	0.974627479	1.89e-12	0.681722616	2.25e-11	9.55e-13
OSR1	ENSCJPG00005011136	3	92210544	92218667	-1	protein_coding	odd-skipped related transcription factor 1 [Source:NCBI gene;Acc:107312299]	7.268837792	2.89e-32	1	1	5.07e-16	1.1e-11	6.22e-19	1.5e-10	1.75e-42
OSR2	ENSCJPG00005000750	2	115737843	115739917	1	protein_coding	odd-skipped related transciption factor 2 [Source:NCBI gene;Acc:107310475]	7.128509007	0.712436611	1	0.844489169	4.48e-41	5.71e-30	1.9e-42	1.02e-30	0.004348894
OSTF1	ENSCJPG00005007842	Z	33133289	33152186	1	protein_coding	osteoclast stimulating factor 1 [Source:NCBI gene;Acc:107306194]	8.087496866	0.295826563	1	1	0.055547784	0.475160632	0.219484119	0.95725943	0.23815004
OTOG	ENSCJPG00005010752	5	16034905	16117471	1	protein_coding	otogelin [Source:NCBI gene;Acc:107314673]	8.308956625	5.74e-06	1	1	0.64251158	0.461212819	0.96514937	0.145857114	0.189677606
OTOGL	ENSCJPG00005000816	1	36113348	36205707	1	protein_coding	otogelin like [Source:NCBI gene;Acc:107311071]	5.29629759	0.012375621	1	1	0.80185738	0.091066947	0.439933458	0.182156233	0.030315215
OTOL1	ENSCJPG00005018062	9	19476152	19479118	-1	protein_coding	otolin 1 [Source:HGNC Symbol;Acc:HGNC:34071]	2.424530544	0.001279908	1	1	1	0.002077069	0.959258353	0.000518109	0.001406858
OTOP1	ENSCJPG00005018520	4	71270895	71281943	-1	protein_coding	otopetrin 1 [Source:NCBI gene;Acc:107313855]	2.99070193	0.0203973	1	1	0.119671293	0.954168771	0.042620337	0.654134492	0.116757184
OTOR	ENSCJPG00005011805	3	2360881	2364309	-1	protein_coding	otoraplin [Source:NCBI gene;Acc:107310780]	5.369003379	0.0001231	1	0.530374783	0.444219118	1.56e-08	0.396207898	0.00010019	1.72e-06
OTP	ENSCJPG00005007969	Z	12104281	12110051	-1	protein_coding	orthopedia homeobox [Source:NCBI gene;Acc:107305878]	3.988471312	9.69e-13	1	0.958496978	0.010589305	0.002134326	0.000140952	0.041048411	2.91e-08
OTUD1	ENSCJPG00005004011	2	15713401	15714978	-1	protein_coding	OTU deubiquitinase 1 [Source:NCBI gene;Acc:107308966]	8.284870929	0.592260788	1	1	0.604524165	0.000200111	1	0.001772373	0.001947358
OTX1	ENSCJPG00005011794	3	2095760	2097790	-1	protein_coding	orthodenticle homeobox 1 [Source:NCBI gene;Acc:107310711]	4.889465841	0.00054234	1	1	0.205534128	0.733663411	0.04896841	0.353886447	0.33526625
OTX2	ENSCJPG00005006178	5	50710904	50718441	1	protein_coding	orthodenticle homeobox 2 [Source:NCBI gene;Acc:107315467]	4.228502385	0.000292409	1	0.685878121	3.32e-22	5.02e-13	6.94e-29	3.94e-19	0.002745416
OVOL2	ENSCJPG00005004123	3	13449092	13452528	1	protein_coding	ovo like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]	6.189800821	1.28e-06	1	0.841024144	0.002335562	5.23e-06	0.036770144	9.81e-05	0.091164112
OXSR1	ENSCJPG00005010950	2	4260138	4337311	1	protein_coding	oxidative stress responsive kinase 1 [Source:NCBI gene;Acc:107308785]	9.976414423	0.133699187	1	1	0.02182898	0.253239137	0.013324813	0.190234431	0.272181534
P2RX2	ENSCJPG00005014574	15	8883856	8892797	1	protein_coding	purinergic receptor P2X 2 [Source:NCBI gene;Acc:107321092]	4.947894956	0.10198798	1	1	0.738521947	0.001026074	0.964624668	0.000117174	0.000142246
P2RY4	ENSCJPG00005003053	4	1189219	1193255	-1	protein_coding	pyrimidinergic receptor P2Y4 [Source:NCBI gene;Acc:107312637]	2.258831265	0.005916466	1	1	0.057262074	0.399950618	0.019698863	0.58975669	0.004264443
P4HTM	ENSCJPG00005016743	12	9173925	9187096	-1	protein_coding	prolyl 4-hydroxylase, transmembrane [Source:NCBI gene;Acc:107319831]	9.514695157	9.33e-30	1	1	2.68e-06	0.326513132	3.62e-06	0.289161079	7.14e-09
PACRG	ENSCJPG00005004398	3	39821690	40015123	-1	protein_coding	parkin coregulated [Source:NCBI gene;Acc:107311527]	12.29151056	3.31e-229	1	1	4.93e-36	1.45e-39	3.09e-37	1.58e-38	2.93e-99
PARK7	ENSCJPG00005007391	21	197467	201046	-1	protein_coding	Parkinsonism associated deglycase [Source:NCBI gene;Acc:107323475]	10.48417851	0.000701989	1	1	0.487658636	4.74e-06	0.57071422	9.15e-06	0.000162265
PARN	ENSCJPG00005013491	14	830620	864011	-1	protein_coding	poly(A)-specific ribonuclease [Source:NCBI gene;Acc:107320526]	9.366984554	0.003724142	1	1	0.010503897	0.424256027	0.005768938	0.5296266	0.000432618
PARP6	ENSCJPG00005007424	10	988173	993932	1	protein_coding	poly(ADP-ribose) polymerase family member 6 [Source:NCBI gene;Acc:107318497]	11.10518782	5.65e-58	1	0.303234972	0.553971268	2.49e-09	0.15280424	0.000182251	1.45e-07
PATL1	ENSCJPG00005013140	5	200842	205550	-1	protein_coding	PAT1 homolog 1, processing body mRNA decay factor [Source:NCBI gene;Acc:107314174]	9.441872386	2.45e-09	1	1	0.000244752	0.252127718	3.76e-05	0.464645594	7.01e-07
PATL2	ENSCJPG00005001062	10	728126	732813	-1	protein_coding	PAT1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:33630]	9.728712945	1.66e-19	1	0.26794422	1.83e-69	4.07e-38	1.12e-62	2.38e-31	1.95e-13
PATZ1	ENSCJPG00005013283	15	7980984	7997631	1	protein_coding	POZ/BTB and AT hook containing zinc finger 1 [Source:NCBI gene;Acc:107321326]	7.319276739	0.000411778	1	1	0.560667701	0.984283206	0.922958607	0.396832701	0.498546794
PAX3	ENSCJPG00005005775	9	6487674	6549432	-1	protein_coding	paired box 3 [Source:NCBI gene;Acc:107318022]	7.037239529	6.71e-08	1	0.578456783	0.001479726	3.08e-11	0.202856209	8.23e-07	0.000418046
PAX5	ENSCJPG00005006237	Z	66879162	66947684	1	protein_coding	paired box 5 [Source:NCBI gene;Acc:107306746]	2.058581709	0.532158863	1	1	1	1	0.421108519	0.429053896	1
PAX6	ENSCJPG00005015377	5	4653699	4666537	1	protein_coding	paired box 6 [Source:NCBI gene;Acc:107314344]	2.892197611	0.337744815	1	0.059204933	1.21e-44	2.82e-44	4.68e-31	6.33e-30	0.975381812
PAX9	ENSCJPG00005019078	5	33286493	33304191	1	protein_coding	paired box 9 [Source:NCBI gene;Acc:107315071]	3.116078485	0.794350082	0.972736351	0.958496978	0.062311613	0.285803199	0.001356057	1	0.002877619
PCDH7	ENSCJPG00005018339	4	64718833	64968594	-1	protein_coding	protocadherin 7 [Source:NCBI gene;Acc:107313947]	5.965301596	0.01113159	1	1	2.77e-19	6.57e-29	2.88e-19	7.61e-29	0.004695771
PCNA	ENSCJPG00005011978	22	1569638	1572895	1	protein_coding	Coturnix japonica proliferating cell nuclear antigen (PCNA), mRNA. [Source:RefSeq mRNA;Acc:NM_001323225]	10.90339119	1.43e-20	1	1	3.44e-13	0.684509029	9.26e-13	0.808953211	6.25e-12
PCSK5	ENSCJPG00005007863	Z	33348450	33593290	1	protein_coding	proprotein convertase subtilisin/kexin type 5 [Source:NCBI gene;Acc:107306216]	8.36537195	0.001040018	1	1	0.06724902	0.004011417	0.222549094	0.012126169	0.223972401
