Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type
ENSGALG00000015841	CLDN8	claudin 8 [Source:NCBI gene;Acc:427974]	1	105751778	105752452	-1	protein_coding
ENSGALG00000012913	PKP2	plakophilin 2 [Source:NCBI gene;Acc:418130]	1	58821965	58864004	1	protein_coding
ENSGALG00000040754	CYP1C1	cytochrome P450 family 1 subfamily C polypeptide 1 [Source:NCBI gene;Acc:428832]	5	1183120	1184856	1	protein_coding
ENSGALG00000030550	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:NCBI gene;Acc:374244]	1	43425751	43483144	-1	protein_coding
ENSGALG00000035499	SKIV2L	Ski2 like RNA helicase [Source:NCBI gene;Acc:421171]	26	501760	510830	1	protein_coding
ENSGALG00000017250	ANKRD42	ankyrin repeat domain 42 [Source:NCBI gene;Acc:772327]	1	190431423	190445874	1	protein_coding
ENSGALG00000040909	WRN	Werner syndrome RecQ like helicase [Source:NCBI gene;Acc:422505]	4	34668440	34710571	1	protein_coding
ENSGALG00000048626			5	12210163	12224239	1	protein_coding
ENSGALG00000027986	NIPAL1	NIPA like domain containing 1 [Source:NCBI gene;Acc:428783]	4	66564200	66574430	-1	protein_coding
ENSGALG00000043929		heterogeneous nuclear ribonucleoprotein L-like [Source:NCBI gene;Acc:101749377]	32	92646	98219	-1	protein_coding
ENSGALG00000007681	HTR2B	5-hydroxytryptamine receptor 2B [Source:NCBI gene;Acc:395581]	9	15312935	15322126	-1	protein_coding
ENSGALG00000003227	RAB11FIP4	RAB11 family interacting protein 4 (class II) [Source:NCBI gene;Acc:427808]	18	6309446	6396232	1	protein_coding
ENSGALG00000036288	OAZ2	ornithine decarboxylase antizyme 2 [Source:NCBI gene;Acc:427481]	10	1594204	1604118	1	protein_coding
ENSGALG00000038003	EDF1	endothelial differentiation related factor 1 [Source:NCBI gene;Acc:417286]	17	913858	917057	1	protein_coding
ENSGALG00000044073		claudin 17 [Source:NCBI gene;Acc:427973]	1	105739075	105739743	-1	protein_coding
ENSGALG00000035152	ALKBH2	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase [Source:NCBI gene;Acc:416897]	15	6944042	6946525	-1	protein_coding
ENSGALG00000036706			10	1577665	1577826	1	misc_RNA
ENSGALG00000050154			5	12207415	12208710	-1	protein_coding
ENSGALG00000014647	RIT1	Ras like without CAAX 1 [Source:NCBI gene;Acc:425068]	25	3649248	3654647	-1	protein_coding
ENSGALG00000001374	SLC35E2B	solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]	21	2008845	2016560	1	protein_coding
ENSGALG00000052686		major histocompatibility complex, class I, A6 [Source:NCBI gene;Acc:417057]	16	2043313	2045183	-1	protein_coding
ENSGALG00000014991	HDAC2	histone deacetylase 2 [Source:NCBI gene;Acc:395635]	3	64830915	64853226	1	protein_coding
ENSGALG00000013932	NAPG	NSF attachment protein gamma [Source:NCBI gene;Acc:421051]	2	98051108	98065183	-1	protein_coding
ENSGALG00000053965			2	3360014	3387200	1	protein_coding
ENSGALG00000054690			5	12163207	12166095	-1	protein_coding
ENSGALG00000026303	MRPS2	mitochondrial ribosomal protein S2 [Source:NCBI gene;Acc:417140]	17	8018445	8020171	1	protein_coding
ENSGALG00000016477	WDR35	WD repeat domain 35 [Source:NCBI gene;Acc:421958]	3	101354461	101391431	-1	protein_coding
ENSGALG00000007315	PSMD6	proteasome 26S subunit, non-ATPase 6 [Source:NCBI gene;Acc:416079]	12	14010163	14017166	-1	protein_coding
ENSGALG00000015020	TMEM171	transmembrane protein 174 [Source:NCBI gene;Acc:768886]	Z	24901868	24918432	-1	protein_coding
ENSGALG00000025499	gga-mir-1752	gga-mir-1752 [Source:miRBase;Acc:MI0007493]	25	3636026	3636107	1	miRNA
ENSGALG00000046808	gga-mir-1639	gga-mir-1639 [Source:miRBase;Acc:MI0007371]	2	3347114	3347185	-1	miRNA
ENSGALG00000009322	NVL	nuclear VCP-like [Source:NCBI gene;Acc:421326]	3	17672118	17701641	1	protein_coding
ENSGALG00000005158	WDFY1	WD repeat and FYVE domain containing 1 [Source:NCBI gene;Acc:424806]	9	8445710	8469090	-1	protein_coding
ENSGALG00000031741	PTK2	protein tyrosine kinase 2 [Source:NCBI gene;Acc:396416]	2	145702024	145887400	-1	protein_coding
ENSGALG00000042838	TRAF2	TNF receptor associated factor 2 [Source:NCBI gene;Acc:417287]	17	895590	912182	-1	protein_coding
ENSGALG00000027562	PURG	purine rich element binding protein G [Source:NCBI gene;Acc:428737]	4	34666884	34667903	-1	protein_coding
ENSGALG00000006490	SCN3B	sodium voltage-gated channel beta subunit 3 [Source:NCBI gene;Acc:419744]	24	2897357	2925022	1	protein_coding
ENSGALG00000054582			3	64614973	64618254	-1	protein_coding
ENSGALG00000014646	SYT11	synaptotagmin 11 [Source:NCBI gene;Acc:429166]	25	3635048	3645497	1	protein_coding
ENSGALG00000032647	CLASP2	cytoplasmic linker associated protein 2 [Source:NCBI gene;Acc:420724]	2	44615726	44749055	-1	protein_coding
ENSGALG00000009293	CHN1	chimerin 1 [Source:NCBI gene;Acc:429021]	7	16717993	16797948	1	protein_coding
ENSGALG00000030988	RBPMS2	RNA binding protein, mRNA processing factor 2 [Source:NCBI gene;Acc:395678]	10	1554284	1575874	-1	protein_coding
ENSGALG00000014127			4	66556118	66563523	1	protein_coding
ENSGALG00000002845	CTNNA3	catenin alpha 3 [Source:NCBI gene;Acc:423648]	6	7369397	7806023	1	protein_coding
ENSGALG00000021676		uncharacterized LOC419404 [Source:NCBI gene;Acc:419404]	21	2000431	2008534	-1	protein_coding
ENSGALG00000052889			25	3625142	3627449	-1	protein_coding
ENSGALG00000030269	CNIH4	cornichon family AMPA receptor auxiliary protein 4 [Source:NCBI gene;Acc:421325]	3	17663798	17672077	-1	protein_coding
ENSGALG00000030164	ECH1	enoyl-CoA hydratase 1 [Source:NCBI gene;Acc:100858352]	32	88923	92453	-1	protein_coding
ENSGALG00000005430	ALS2CL	ALS2 C-terminal like [Source:NCBI gene;Acc:428401]	2	3313209	3355141	-1	protein_coding
ENSGALG00000024298	ADAMTSL5	ADAMTS like 5 [Source:NCBI gene;Acc:427264]	28	3331413	3336022	-1	protein_coding
ENSGALG00000050105			2	81823392	81823501	-1	miRNA
ENSGALG00000026082			7	16689428	16689600	1	misc_RNA
ENSGALG00000003185	SCPEP1	serine carboxypeptidase 1 [Source:NCBI gene;Acc:417403]	18	6293718	6304458	1	protein_coding
ENSGALG00000050324			4	66546130	66552689	1	protein_coding
ENSGALG00000010273	PPP2CB	protein phosphatase 2 catalytic subunit beta [Source:NCBI gene;Acc:396021]	4	34628096	34640529	-1	protein_coding
ENSGALG00000014643			25	3617842	3624498	-1	protein_coding
ENSGALG00000049473		coilin [Source:NCBI gene;Acc:417402]	18	6288186	6292800	-1	protein_coding
ENSGALG00000004734		protein eva-1 homolog C-like [Source:NCBI gene;Acc:422179]	4	1828742	1832873	1	protein_coding
ENSGALG00000001049		caspase 1 [Source:NCBI gene;Acc:395764]	19	844308	849704	1	protein_coding
ENSGALG00000031408	SORD	sorbitol dehydrogenase [Source:NCBI gene;Acc:415332]	10	1522444	1539392	-1	protein_coding
ENSGALG00000016676	MCM3	minichromosome maintenance complex component 3 [Source:NCBI gene;Acc:422043]	3	107541369	107553023	1	protein_coding
ENSGALG00000030831	FBXW5	F-box and WD repeat domain containing 5 [Source:NCBI gene;Acc:417289]	17	879847	892852	1	protein_coding
ENSGALG00000003144	TRIM25	tripartite motif containing 25 [Source:NCBI gene;Acc:417401]	18	6279757	6287152	-1	protein_coding
ENSGALG00000019794	MSTO1	misato 1, mitochondrial distribution and morphology regulator [Source:NCBI gene;Acc:425066]	25	3611935	3614394	1	protein_coding
ENSGALG00000030878	RPLP1	ribosomal protein lateral stalk subunit P1 [Source:NCBI gene;Acc:396262]	2	145698580	145699798	1	protein_coding
ENSGALG00000035493	POC1B	POC1 centriolar protein B [Source:NCBI gene;Acc:417889]	1	43360803	43404429	-1	protein_coding
ENSGALG00000037781	GSR	glutathione-disulfide reductase [Source:NCBI gene;Acc:771783]	4	34623429	34628330	-1	protein_coding
ENSGALG00000036496	ACTN4	actinin, alpha 4 [Source:NCBI gene;Acc:396024]	32	69421	88066	1	protein_coding
ENSGALG00000016675	PAQR8	progestin and adipoQ receptor family member 8 [Source:NCBI gene;Acc:422042]	3	107527254	107530181	-1	protein_coding
ENSGALG00000040265	USP30	ubiquitin specific peptidase 30 [Source:NCBI gene;Acc:416896]	15	6932850	6943173	1	protein_coding
ENSGALG00000009287	ATF2	activating transcription factor 2 [Source:NCBI gene;Acc:395727]	7	16657945	16702160	1	protein_coding
ENSGALG00000015148	ANXA1	annexin A1 [Source:NCBI gene;Acc:404271]	Z	36034182	36052126	1	protein_coding
ENSGALG00000026594	HS3ST5	heparan sulfate-glucosamine 3-sulfotransferase 5 [Source:NCBI gene;Acc:428621]	3	64588327	64784997	1	protein_coding
ENSGALG00000003131	DGKE	diacylglycerol kinase epsilon [Source:NCBI gene;Acc:770911]	18	6259783	6271406	1	protein_coding
ENSGALG00000035630	UBP1	upstream binding protein 1 (LBP-1a) [Source:NCBI gene;Acc:428458]	2	44571672	44615705	-1	protein_coding
ENSGALG00000040957	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	2	145648583	145692109	-1	protein_coding
ENSGALG00000014011	LRMP	lymphoid restricted membrane protein [Source:NCBI gene;Acc:418205]	1	67126380	67162894	1	protein_coding
ENSGALG00000050260			22	1564499	1567044	-1	protein_coding
ENSGALG00000027410	gga-mir-6597	gga-mir-6597 [Source:miRBase;Acc:MI0022417]	20	10895483	10895592	-1	miRNA
ENSGALG00000040644	C8G	complement component 8, gamma polypeptide [Source:NCBI gene;Acc:770691]	17	876650	879509	-1	protein_coding
ENSGALG00000012911	SYT10	synaptotagmin 10 [Source:NCBI gene;Acc:418129]	1	58641232	58673128	1	protein_coding
ENSGALG00000028402			5	25690521	25695950	-1	protein_coding
ENSGALG00000041510	DUOX2	dual oxidase 1 [Source:NCBI gene;Acc:427482]	10	1504415	1521465	1	protein_coding
ENSGALG00000029502	CLIC2	chloride intracellular channel 2 [Source:NCBI gene;Acc:422178]	4	1823156	1828005	-1	protein_coding
ENSGALG00000036511		dual oxidase maturation factor 1-like [Source:NCBI gene;Acc:427483]	10	1492675	1499114	-1	protein_coding
ENSGALG00000027760	gga-mir-6572	gga-mir-6572 [Source:miRBase;Acc:MI0022390]	2	145646147	145646254	-1	miRNA
ENSGALG00000052577			3	64546844	64551160	-1	protein_coding
ENSGALG00000005417	JMJD4	jumonji domain containing 4 [Source:NCBI gene;Acc:420400]	2	3303811	3312840	1	protein_coding
ENSGALG00000032652	gga-mir-1698-2	gga-mir-1698-2 [Source:miRBase;Acc:MI0023552]	19	827968	828074	-1	miRNA
ENSGALG00000006469	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit [Source:NCBI gene;Acc:419743]	24	2877577	2895175	-1	protein_coding
ENSGALG00000016674	EFHC1	EF-hand domain containing 1 [Source:NCBI gene;Acc:422041]	3	107503552	107521378	-1	protein_coding
ENSGALG00000033061	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:NCBI gene;Acc:374174]	22	5231576	5248343	1	protein_coding
ENSGALG00000028084	FAAH2	fatty acid amide hydrolase 2 [Source:NCBI gene;Acc:100859568]	4	1811660	1817142	1	protein_coding
ENSGALG00000044260		E3 SUMO-protein ligase RanBP2-like [Source:NCBI gene;Acc:776067]	1	137767278	137788052	1	protein_coding
ENSGALG00000052840			22	1550046	1553924	-1	protein_coding
ENSGALG00000040368	CALR	calreticulin [Source:NCBI gene;Acc:100859104]	30	422263	424991	-1	protein_coding
ENSGALG00000015021	TMEM174	transmembrane protein 174 [Source:NCBI gene;Acc:768886]	Z	24897185	24901681	-1	protein_coding
ENSGALG00000014979	FRK	fyn related Src family tyrosine kinase [Source:NCBI gene;Acc:421747]	3	64064317	64109976	1	protein_coding
ENSGALG00000002769	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12 [Source:NCBI gene;Acc:423647]	6	7337219	7349970	1	protein_coding
ENSGALG00000019796	DAP3	death associated protein 3 [Source:NCBI gene;Acc:425065]	25	3601925	3610753	1	protein_coding
ENSGALG00000014965		collagen, type X, alpha 1 [Source:NCBI gene;Acc:100858979]	3	64024537	64031213	1	protein_coding
ENSGALG00000027514	SCEL	sciellin [Source:NCBI gene;Acc:101751260]	1	155434827	155487164	-1	protein_coding
ENSGALG00000040823	CHRAC1	chromatin accessibility complex 1 [Source:NCBI gene;Acc:100858071]	2	145630986	145634567	1	protein_coding
ENSGALG00000009286	ATP5G3	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9) [Source:NCBI gene;Acc:424142]	7	16638236	16652554	1	protein_coding
ENSGALG00000011207	DUSP6	dual specificity phosphatase 6 [Source:NCBI gene;Acc:374272]	1	43322569	43326909	-1	protein_coding
ENSGALG00000030886	PTGDS	prostaglandin D2 synthase 21kDa (brain) [Source:NCBI gene;Acc:374110]	17	872551	874786	-1	protein_coding
ENSGALG00000029343	TGM2	transglutaminase 2 [Source:NCBI gene;Acc:396432]	32	67698	70052	1	protein_coding
ENSGALG00000040773	C9orf116	chromosome 9 open reading frame 116 [Source:NCBI gene;Acc:772106]	17	8017252	8018376	-1	protein_coding
ENSGALG00000049432			1	88686661	88689678	1	protein_coding
ENSGALG00000035246		dual oxidase maturation factor 2 [Source:NCBI gene;Acc:427484]	10	1484706	1490507	1	protein_coding
ENSGALG00000024428	C18H17ORF67	chromosome 18 open reading frame, human C17orf67 [Source:NCBI gene;Acc:417400]	18	6256027	6262584	-1	protein_coding
ENSGALG00000006192	USH1C	USH1 protein network component harmonin [Source:NCBI gene;Acc:423073]	5	12148432	12193954	-1	protein_coding
ENSGALG00000001042	MTMR4	myotubularin related protein 4 [Source:NCBI gene;Acc:417472]	19	801748	844553	-1	protein_coding
ENSGALG00000014638	ASH1L	ASH1 like histone lysine methyltransferase [Source:NCBI gene;Acc:425064]	25	3564403	3597752	-1	protein_coding
ENSGALG00000028608	BTC	betacellulin [Source:NCBI gene;Acc:448833]	4	34617002	34622372	1	protein_coding
ENSGALG00000034278	SVOP	SV2 related protein [Source:NCBI gene;Acc:416895]	15	6912999	6930693	-1	protein_coding
ENSGALG00000015147	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:NCBI gene;Acc:395264]	Z	35905444	35958334	-1	protein_coding
ENSGALG00000003114	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	18	6187592	6189553	1	protein_coding
ENSGALG00000002761	SIRT1	sirtuin 1 [Source:NCBI gene;Acc:423646]	6	7315727	7337324	-1	protein_coding
ENSGALG00000017249	PCF11	PCF11 cleavage and polyadenylation factor subunit [Source:NCBI gene;Acc:419021]	1	190407769	190427144	1	protein_coding
ENSGALG00000013765		LTV1 ribosome biogenesis factor [Source:NCBI gene;Acc:421666]	3	52392519	52401620	-1	protein_coding
ENSGALG00000017414	JUP	junction plakoglobin [Source:NCBI gene;Acc:429710]	27	7477796	7493324	-1	protein_coding
ENSGALG00000002489	PPP1R26	protein phosphatase 1 regulatory subunit 26 [Source:HGNC Symbol;Acc:HGNC:29089]	17	8009102	8013127	1	protein_coding
ENSGALG00000016476	TTC32	tetratricopeptide repeat domain 32 [Source:NCBI gene;Acc:769943]	3	101353096	101354281	-1	protein_coding
ENSGALG00000033532	RAD23A	RAD23 homolog A, nucleotide excision repair protein [Source:NCBI gene;Acc:100859241]	30	417783	422740	-1	protein_coding
ENSGALG00000025563	gga-mir-1629	gga-mir-1629 [Source:miRBase;Acc:MI0007358]	25	3559915	3560007	1	miRNA
ENSGALG00000048646			32	64467	66800	-1	protein_coding
ENSGALG00000032170		lipocalin 15 [Source:NCBI gene;Acc:101752216]	17	869297	871747	-1	protein_coding
ENSGALG00000038299	NUDCD3	NudC domain containing 3 [Source:NCBI gene;Acc:770002]	22	5212638	5230538	1	protein_coding
ENSGALG00000016673	TRAM2	translocation associated membrane protein 2 [Source:NCBI gene;Acc:422040]	3	107485825	107498655	1	protein_coding
ENSGALG00000042766	TRAPPC9	trafficking protein particle complex 9 [Source:NCBI gene;Acc:420312]	2	145414286	145625236	-1	protein_coding
ENSGALG00000010268		prostate androgen-regulated mucin-like protein 1 [Source:NCBI gene;Acc:422503]	4	34607222	34615681	-1	protein_coding
ENSGALG00000033943	HYI	hydroxypyruvate isomerase (putative) [Source:NCBI gene;Acc:424567]	8	20123832	20126561	-1	protein_coding
ENSGALG00000026384	PCSK4	proprotein convertase subtilisin/kexin type 4 [Source:NCBI gene;Acc:100859150]	28	3324485	3329567	1	protein_coding
ENSGALG00000003105	ANKFN1	ankyrin repeat and fibronectin type III domain containing 1 [Source:NCBI gene;Acc:427807]	18	6106146	6162953	1	protein_coding
ENSGALG00000032413	NADK	NAD kinase [Source:NCBI gene;Acc:419403]	21	1976366	1999141	1	protein_coding
ENSGALG00000001611	B3GAT1	beta-1,3-glucuronyltransferase 1 [Source:NCBI gene;Acc:373949]	24	2619471	2649394	-1	protein_coding
ENSGALG00000014124	TEC	tec protein tyrosine kinase [Source:NCBI gene;Acc:396407]	4	66502757	66544534	1	protein_coding
ENSGALG00000027069	TSC22D4	TSC22 domain family member 4 [Source:NCBI gene;Acc:768091]	4	1786951	1794312	1	protein_coding
ENSGALG00000045634	XKR5	XK related 5 [Source:NCBI gene;Acc:422039]	3	107478964	107484909	1	protein_coding
ENSGALG00000003099	PCTP	phosphatidylcholine transfer protein [Source:NCBI gene;Acc:417399]	18	6021507	6028831	1	protein_coding
ENSGALG00000016913	SLAIN1	SLAIN motif family member 1 [Source:NCBI gene;Acc:418807]	1	155364813	155418952	-1	protein_coding
ENSGALG00000043506	NMB	neuromedin B [Source:NCBI gene;Acc:415333]	10	1476303	1479577	1	protein_coding
ENSGALG00000013273	SPX	spexin hormone [Source:NCBI gene;Acc:107053973]	1	67114029	67117233	-1	protein_coding
ENSGALG00000046464	RUSC1	RUN and SH3 domain containing 1 [Source:NCBI gene;Acc:425062]	25	3553892	3559408	1	protein_coding
ENSGALG00000001031		heat shock transcription factor 5 [Source:NCBI gene;Acc:417471]	19	769653	792925	-1	protein_coding
ENSGALG00000043064	EXFABP	extracellular fatty acid-binding protein [Source:NCBI gene;Acc:396393]	17	865358	868425	-1	protein_coding
ENSGALG00000037285	KCNK9	potassium two pore domain channel subfamily K member 9 [Source:NCBI gene;Acc:100859545]	2	145014229	145093521	-1	protein_coding
ENSGALG00000003860	MID2	midline 2 [Source:NCBI gene;Acc:422131]	4	1724355	1762986	-1	protein_coding
ENSGALG00000052474			1	67094374	67095633	1	protein_coding
ENSGALG00000006172	ABCC8	ATP binding cassette subfamily C member 8 [Source:NCBI gene;Acc:423072]	5	12070315	12134884	-1	protein_coding
ENSGALG00000052020	AvBD14	avian beta-defensin 14 [Source:NCBI gene;Acc:100858701]	3	107476054	107478873	-1	protein_coding
ENSGALG00000009983	NUBPL	nucleotide binding protein like [Source:NCBI gene;Acc:423312]	5	34706211	34788651	1	protein_coding
ENSGALG00000026465	TMEM100	transmembrane protein 100 [Source:NCBI gene;Acc:417398]	18	6008187	6014208	-1	protein_coding
ENSGALG00000001028		ring finger protein 43 [Source:NCBI gene;Acc:100857874]	19	713614	767109	-1	protein_coding
ENSGALG00000007664	PSMD1	proteasome 26S subunit, non-ATPase 1 [Source:NCBI gene;Acc:424926]	9	15291664	15353104	1	protein_coding
ENSGALG00000031739		olfactory receptor 10A7-like [Source:NCBI gene;Acc:417291]	17	855861	856892	-1	protein_coding
ENSGALG00000002431		complement factor H [Source:NCBI gene;Acc:429057]	8	3040540	3073154	-1	protein_coding
ENSGALG00000005412	SNAP47	synaptosome associated protein 47 [Source:NCBI gene;Acc:420399]	2	3278997	3314408	-1	protein_coding
ENSGALG00000014964	NT5DC1	5'-nucleotidase domain containing 1 [Source:NCBI gene;Acc:421746]	3	63927963	64048903	-1	protein_coding
ENSGALG00000015145	TMC1	transmembrane channel like 1 [Source:NCBI gene;Acc:427255]	Z	35819526	35878296	1	protein_coding
ENSGALG00000028506	NHSL2	NHS like 2 [Source:NCBI gene;Acc:422133]	4	1678056	1695829	-1	protein_coding
ENSGALG00000020505	KCNJ11	potassium inwardly rectifying channel subfamily J member 11 [Source:NCBI gene;Acc:428846]	5	12064883	12066076	-1	protein_coding
ENSGALG00000032143	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2 [Source:NCBI gene;Acc:415818]	11	16909051	16934252	1	protein_coding
ENSGALG00000054689		inositol 1,4,5-trisphosphate receptor-interacting protein-like 1-like [Source:NCBI gene;Acc:101752020]	1	88465698	88466831	-1	protein_coding
ENSGALG00000013265	GYS2	glycogen synthase 2 [Source:NCBI gene;Acc:418201]	1	67048510	67088148	1	protein_coding
ENSGALG00000016912	EDNRB	endothelin receptor type B [Source:NCBI gene;Acc:408082]	1	155290926	155305744	1	protein_coding
ENSGALG00000014963		dermatan sulfate epimerase [Source:NCBI gene;Acc:421745]	3	63884722	63905439	-1	protein_coding
ENSGALG00000019843	AvBD4	avian beta-defensin 4 [Source:NCBI gene;Acc:414342]	3	107470958	107472826	-1	protein_coding
ENSGALG00000037944	LNPK	lunapark, ER junction formation factor [Source:NCBI gene;Acc:424141]	7	16367466	16405079	1	protein_coding
ENSGALG00000054730			1	155112824	155114521	-1	protein_coding
ENSGALG00000003878	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4 [Source:NCBI gene;Acc:422134]	4	1675565	1676294	-1	protein_coding
ENSGALG00000020768	EVX2	even-skipped homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3507]	7	16333056	16334408	1	protein_coding
ENSGALG00000003881	ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase [Source:NCBI gene;Acc:422135]	4	1669055	1673130	1	protein_coding
ENSGALG00000028600	PPIA	peptidylprolyl isomerase A [Source:NCBI gene;Acc:776282]	22	5209156	5212728	1	protein_coding
ENSGALG00000037553	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:NCBI gene;Acc:415334]	10	1456985	1466170	1	protein_coding
ENSGALG00000014962	CALHM6	family with sequence similarity 26 member F [Source:NCBI gene;Acc:421744]	3	63868068	63871243	-1	protein_coding
ENSGALG00000035441	POU4F1	POU class 4 homeobox 1 [Source:NCBI gene;Acc:100857623]	1	154908040	154909848	1	protein_coding
ENSGALG00000031589	ZNF592	zinc finger protein 592 [Source:NCBI gene;Acc:415335]	10	1423341	1455021	1	protein_coding
ENSGALG00000009978	DTD2	D-tyrosyl-tRNA deacylase 2 (putative) [Source:NCBI gene;Acc:770817]	5	34687317	34694681	-1	protein_coding
ENSGALG00000007462	CTSZ	cathepsin Z [Source:NCBI gene;Acc:419311]	20	10895414	11013490	1	protein_coding
ENSGALG00000000920	CGN	cingulin [Source:NCBI gene;Acc:425665]	25	390267	399593	1	pseudogene
ENSGALG00000016475		long intergenic non-protein coding RNA 954 [Source:NCBI gene;Acc:421956]	3	101331559	101347513	1	protein_coding
ENSGALG00000003920		OCRL, inositol polyphosphate-5-phosphatase [Source:NCBI gene;Acc:422136]	4	1648817	1669836	-1	protein_coding
ENSGALG00000042193	AvBD5	avian beta-defensin 5 [Source:NCBI gene;Acc:414340]	3	107467262	107468665	-1	protein_coding
ENSGALG00000036355	C7orf73	chromosome 7 open reading frame 73 [Source:NCBI gene;Acc:418128]	1	58399989	58406158	-1	protein_coding
ENSGALG00000013756	ZC2HC1B	zinc finger C2HC-type containing 1B [Source:HGNC Symbol;Acc:HGNC:21174]	3	52378552	52388126	-1	protein_coding
ENSGALG00000044307		phospholipase A2 group IVE-like 5 [Source:NCBI gene;Acc:771552]	5	25622679	25653875	-1	protein_coding
ENSGALG00000025345	gga-mir-1665	gga-mir-1665 [Source:miRBase;Acc:MI0007399]	8	20091882	20091959	1	miRNA
ENSGALG00000012644	FOXD1	forkhead box D1 [Source:NCBI gene;Acc:396109]	Z	24754667	24755989	1	pseudogene
ENSGALG00000033996	TMEM220	transmembrane protein 220 [Source:NCBI gene;Acc:417311]	18	696091	702623	-1	protein_coding
ENSGALG00000046801	MIR12247-1	microRNA mir-12247-1 [Source:NCBI gene;Acc:114483251]	22	5203946	5204002	1	miRNA
ENSGALG00000023847		huntingtin associated protein 1 [Source:NCBI gene;Acc:100857812]	27	7466900	7475380	-1	protein_coding
ENSGALG00000013754	PLAGL1	PLAG1 like zinc finger 1 [Source:NCBI gene;Acc:769676]	3	52353589	52378280	1	protein_coding
ENSGALG00000045676	NELFE	negative elongation factor complex member E [Source:NCBI gene;Acc:100859071]	26	496842	499715	-1	protein_coding
ENSGALG00000007611	RPL35A	ribosomal protein L35a [Source:NCBI gene;Acc:424924]	9	15278279	15281121	1	protein_coding
ENSGALG00000028880	FDPS	farnesyl diphosphate synthase [Source:NCBI gene;Acc:425061]	25	3549515	3553094	1	protein_coding
ENSGALG00000038162	FAM26E	family with sequence similarity 26 member E [Source:NCBI gene;Acc:769904]	3	63853190	63861087	-1	protein_coding
ENSGALG00000000944	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit [Source:NCBI gene;Acc:417470]	19	707198	710407	-1	protein_coding
ENSGALG00000023335	RCHY1	ring finger and CHY zinc finger domain containing 1 [Source:NCBI gene;Acc:771726]	4	34596009	34599582	1	protein_coding
ENSGALG00000003078	MMD	monocyte to macrophage differentiation associated [Source:NCBI gene;Acc:417397]	18	5945780	5973025	-1	protein_coding
ENSGALG00000031482	Pou5f3	POU domain class 5 transcription factor 3 [Source:NCBI gene;Acc:427781]	17	823420	837030	-1	protein_coding
ENSGALG00000032039	HOXD13	homeobox D13 [Source:NCBI gene;Acc:396415]	7	16324760	16327333	-1	protein_coding
ENSGALG00000007607	IQCG	IQ motif containing G [Source:NCBI gene;Acc:424923]	9	15259949	15276211	-1	protein_coding
ENSGALG00000014955	CALHM4	family with sequence similarity 26 member D [Source:NCBI gene;Acc:421742]	3	63835589	63839410	-1	protein_coding
ENSGALG00000018344	gga-mir-142	gga-mir-142 [Source:miRBase;Acc:MI0001281]	19	697445	697536	-1	miRNA
ENSGALG00000054286	APLN	apelin [Source:NCBI gene;Acc:101747811]	4	1645346	1646715	1	protein_coding
ENSGALG00000005401	WNT9A	Wnt family member 9A [Source:NCBI gene;Acc:395829]	2	2665702	2717022	1	protein_coding
ENSGALG00000016670	AvBD3	avian beta-defensin 3 [Source:NCBI gene;Acc:395363]	3	107461886	107464431	-1	protein_coding
ENSGALG00000003059	HLF	HLF, PAR bZIP transcription factor [Source:NCBI gene;Acc:417395]	18	5906620	5937242	1	protein_coding
ENSGALG00000009595	TWF1	twinfilin actin binding protein 1 [Source:NCBI gene;Acc:417797]	1	30203889	30222692	-1	protein_coding
ENSGALG00000000905	PSMB4	proteasome subunit beta 4 [Source:NCBI gene;Acc:429986]	25	383948	386254	-1	protein_coding
ENSGALG00000034919	CDK2AP1	cyclin dependent kinase 2 associated protein 1 [Source:NCBI gene;Acc:416826]	15	5338142	5353602	1	protein_coding
ENSGALG00000030007			26	2670099	2686743	1	protein_coding
ENSGALG00000001604		galactosidase beta 1 like 2 [Source:NCBI gene;Acc:428238]	24	2597820	2619876	1	protein_coding
ENSGALG00000039164		paracaspase 3 [Source:NCBI gene;Acc:415336]	10	1382052	1406178	1	protein_coding
ENSGALG00000016911	OBI1	ring finger protein 219 [Source:NCBI gene;Acc:418805]	1	154872629	154900156	1	protein_coding
ENSGALG00000034975	FUT7	fucosyltransferase 7 [Source:NCBI gene;Acc:427782]	17	817872	821031	1	protein_coding
